Focal Species, KEA, Indicator, Poor, Fair, Good, Very Good
"Pacific Salmon and steelhead","Available Off-channel Thermal Refuge","Total Area (m^2) of off-channel thermal refuge available",?,?,?,?
,,Current Status:,,,,
