Focal Species, KEA, Indicator, Poor, Fair, Good, Very Good
Pacific Salmon and steelhead, Available Spawning Habitat, % of total linear spawning habitat accessible, <25%, 25-50, 50-75%, >75%
,,Current Status:,,,,91.46%
