aggregated_crossings_id,barrier_id,internal_name,crossing_source,crossing_feature_type,crossing_type_code,barrier_status,transport_line_structured_name_1,rail_track_name,blue_line_key,watercourse_name,road_name,structure_type,structure_owner,private_owner_details,structure_list_status,assessment_type_completed,reason_for_exclusion,method_of_exclusion,partial_passability,partial_passability_notes,upstream_habitat_quality,constructability,estimated_cost_$,priority,type_of_rehabilitation,rehabilitated_by,rehabilitated_date,estimated_rehabilitation_cost_$,actual_project_cost_$,next_steps,timeline_for_next_steps,lead_for_next_steps,others_involved_in_next_steps,reason,notes,supporting_links,modelled_crossing_id,pscis_status,crossing_subtype_code,pscis_road_name,pscis_stream_name,pscis_assessment_comment,pscis_assessment_date,dam_name,dam_height,dam_owner,dam_use,dam_operating_status,utm_zone,utm_easting,utm_northing,downstream_route_measure,watershed_group_code,gnis_stream_name,barriers_anthropogenic_dnstr,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_habitat_wcrp_upstr,barriers_anthropogenic_habitat_wcrp_upstr_count,barriers_ch_cm_co_pk_sk_dnstr,barriers_st_dnstr,barriers_wct_dnstr,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,all_spawning_km,all_spawning_belowupstrbarriers_km,all_rearing_km,all_rearing_belowupstrbarriers_km,all_spawningrearing_set_id,all_spawningrearing_total_hab_gain_set,all_spawningrearing_num_barriers_set,all_spawningrearing_avg_gain_per_barrier,all_spawningrearing_dnstr_set_ids,all_spawningrearing_rank_avg_gain_per_barrier,all_spawningrearing_rank_avg_gain_tiered,all_spawningrearing_rank_total_upstr_hab,all_spawningrearing_rank_combined,all_spawningrearing_tier_combined,all_spawning_set_id,all_spawning_total_hab_gain_set,all_spawning_num_barriers_set,all_spawning_avg_gain_per_barrier,all_spawning_dnstr_set_ids,all_spawning_rank_avg_gain_per_barrier,all_spawning_rank_avg_gain_tiered,all_spawning_rank_total_upstr_hab,all_spawning_rank_combined,all_spawning_tier_combined,all_rearing_set_id,all_rearing_total_hab_gain_set,all_rearing_num_barriers_set,all_rearing_avg_gain_per_barrier,all_rearing_dnstr_set_ids,all_rearing_rank_avg_gain_per_barrier,all_rearing_rank_avg_gain_tiered,all_rearing_rank_total_upstr_hab,all_rearing_rank_combined,all_rearing_tier_combined,label_in_wcrp,,,
196942,196942,Mine Creek @ Mine Creek Road (196942),PSCIS,"ROAD, DEMOGRAPHIC",CBS,BARRIER,Mine Creek Rd,,356279166,Mine Creek,Mine Creek Road,Stream crossing - CBS,,,Non-actionable barrier,Barrier assessment,,,,,Low,,,,,,,,,Non-actionable,,,,Appears to have had historic habitat value but not capable of supporting fish in its current state. Consider revisiting following habitat restoration or ecosystem recovery from wildfires.,203626 is a duplicate PSCIS point for this crossing.,,11300383,ASSESSED,OVAL,Mine Creek Road,Mine Creek,"Dry streambed, B an estimate, also hwy culvert d/s",9/11/2017,,,,,,10,643223,5505393,325,LNIC,Mine Creek,203627,1,,,,,,1.43,1.43,0.05,0.05,1.43,1.43,13122,1.51,2,0.755,,7,8,7,6,A,8203,0.05,1,0.05,"[ ""8202"" ]",10,26,11,15,B,15582,1.51,2,0.755,,7,8,7,7,A,yes,10,40.94,40.94
36b0bcda-4671-45ff-8dea-d1fc8abe3a8d,36b0bcda-4671-45ff-8dea-d1fc8abe3a8d,Clapperton Dam,CABD,DAM,OTHER,PASSABLE,,,356362373,Clapperton Creek,n/a,Dam,Orphaned,Located on LNIB Zoht Reserve,Rehabilitated barrier,Rehabilitated,,,Yes,Proportion of individuals,High,Easy,350000,High,Removal/decommissioned,CWF & LNIB,8/1/2024,221000,332000,Post-rehabilitation monitoring,6/30/2025,LNIB,CWF,Partial barrier to fish passage was removed and replaced with two rock steps,"Important steelhead, Chinook, Coho stream",,,,DAM,,,,,Clapperton Dam,0.5,,Irrigation,Decommissioned/ Removed,10,666303,5560768,1661.530575,LNIC,Clapperton Creek,,0,,,,,,1.3,1.3,1.3,1.3,1.3,1.3,16402,1.3,1,1.3,,6,7,8,7,A,13532,1.3,1,1.3,,3,4,4,4,A,7792,1.3,1,1.3,,6,7,8,6,A,yes,11,42.24,42.24
1011302589,1011302589,Moore Cr @ Private (11302589),MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356358180,,,,,,,,,,,,,,,,,,,,,,,,,,,,11302589,,,,,,,,,,,,10,682086,5581841,15468.87862,LNIC,Moore Creek,,0,,,,,,0.44,0.44,0,0,0.44,0.44,2462,0.44,1,0.44,,8,12,11,8,A,3692,0,1,0,,,,,,,8612,0.44,1,0.44,,8,12,11,8,A,yes,12,42.68,42.68
203630,203630,Bottletop Creek @ Hwy 5 (203630),PSCIS,"ROAD, DEMOGRAPHIC",CBS,BARRIER,Hwy 5,,356325656,Bottletop Creek,Highway 5,Stream crossing - CBS,,,Non-actionable barrier,Barrier assessment,,,,,Low,,,,,,,,,Non-actionable,,,,"Poor quality habitat, flows go subsurface through old quarry rockslide ~500 m upstream from highway. Further impacts from wildfire. Consider revisiting following habitat restoration or recovery.",,,11300395,ASSESSED,ROUND,Highway 5,Bottletop Creek,"At UTM 10.643347.5513250 stream splits, 1/3 of flow flows North. D=20cm D95=25cm; culvert length taken from GPS'd Outlet and Inlet. Culvert slope taken with clinometer due to Highway 5 traffic. Overwintering habitat does not exist - no suitable pools, seasonal stream; dewatered downstream; severe dewatering occurs in entirety of reach 1 which may be usable for just a few weeks, indicated by cracked soil in channel bed. Rearing habitat value is low; possibly usable in reach 1 for just a few weeks. Reach 1 does not contain suitable instream cover, indicated by D=20cm and complate lack of deep pools and functional large woody debries. In Reach 2 Rearing habitat was good only in 50m section at start of reach (pools, small woody debris, and overhanging vegetation). Spawning habitat - none; seasonal flows in Reach 1, mixed gravel/cobble, compacted channel bed. In reach 2, gradient is too steep. Rises from 4% to 10% within first 100m.",9/20/2024,,,,,,10,643324,5513260,154,LNIC,Bottletop Creek,,0,196966,1,,,,0.49,0.08,0,0,0.49,0.08,9432,0.49,2,0.245,,12,14,10,9,A,12712,0,2,0,,,,,,,9842,0.49,2,0.245,,11,13,10,9,A,yes,13,42.925,42.76
196966,196966,Bottletop Creek @ Juliet Dr (196966),PSCIS,"ROAD, DEMOGRAPHIC",CBS,BARRIER,Juliet Dr,,356325656,Bottletop Creek,Juliet Drive,Stream crossing - CBS,,,Non-actionable barrier,,,,,,Low,,,,,,,,,Non-actionable,,,,"Poor quality habitat, flows go subsurface through old quarry rockslide ~500 m upstream from highway. Further impacts from wildfire. Consider revisiting following habitat restoration or recovery.","Wildlife fence across upstream of culvert,trapping debris. First culvert upstream of Coq Hwy",,11300830,ASSESSED,ROUND,Secondary rd off Coq,Bottletop Creek,"Wildlife fence across upstream of culvert,trapping debris. First culvert upstream of Coq Hwy",9/14/2017,,,,,,10,643261,5513308,233,LNIC,Bottletop Creek,203630,1,,,,,,0.41,0.41,0,0,0.41,0.41,9432,0.49,2,0.245,,12,14,10,9,A,12712,0,2,0,,,,,,,9842,0.49,2,0.245,,11,13,10,9,A,yes,14,43.17,43.17
203634,203634,Shackan Creek @ unnamed rd (203634),PSCIS,"ROAD, RESOURCE/OTHER",CBS,BARRIER,,,356340139,Shackan Creek,Unnamed,Stream crossing - CBS,,,Data-deficient barrier,Barrier assessment,,,Yes,Proportion of time,High,Moderate,,,,,,,,In-depth passage assessment (data deficient structures only),,,,Habitat most valuable during freshet. Assess velocity/passability during freshet.,,,11303636,ASSESSED,OVAL,unknown,Skackan Creek,"D=25cm D95=50cm; stream severly effected by 2021 flood - signs of flows 2m above channel. No spawning or overwintering habitat observed within 200m of surveyed length. Rearing habitat - good, diverse cover composed of pools, boulders, large woody debris, and small woody debris; fry and juvenille fish very common.",9/24/2024,,,,,,10,629880,5572008,277,LNIC,Shakan Creek,,0,,,,,,0.25,0.25,0.25,0.25,0.08,0.08,14352,0.25,1,0.25,,11,13,12,10,A,13122,0.25,1,0.25,,5,7,5,5,A,13532,0.08,1,0.08,,13,14,15,12,B,yes,15,43.42,43.42
1011301294,1011301294,Trib 2 to Coldwater R @ unnamed (11301294),MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356137299,,,,,,,,,,,,,,,,,,,,,,,,,,,,11301294,,,,,,,,,,,,10,656865,5548390,123.9774455,LNIC,,,0,1011301293,1,2.04969E+13,,,0.23,0.09,0.23,0.09,0,0,5332,0.23,2,0.115,,15,16,13,11,B,1232,0.23,2,0.115,,7,9,6,6,A,10252,0,2,0,,,,,,,yes,16,43.535,43.51
1011301293,1011301293,Trib 2 to Coldwater R @ unnamed (11301293),MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356137299,,,,,,,,,,,,,,,,,,,,,,,,,,,,11301293,,,,,,,,,,,,10,656940,5548347,210.9678847,LNIC,,1011301294,1,,,2.04969E+13,2.04969E+13,,0.14,0.14,0.14,0.14,0,0,5332,0.23,2,0.115,,15,16,13,11,B,1232,0.23,2,0.115,,7,9,6,6,A,10252,0,2,0,,,,,,,yes,17,43.65,43.65
1011306530,1011306530,Skuagam Cr @ KVR (11306530),MODELLED CROSSINGS,TRAIL,CBS,POTENTIAL,Nicola Kamloops and Similkameen Rail Trail,,356298317,,,,,,,,,,,,,,,,,,,,,,,,,,,,11306530,,,,,,,,,,,,10,652722,5543653,49.86725982,LNIC,Skuagam Creek,,0,,,,,,0.21,0.21,0.21,0.21,0,0,8612,0.21,1,0.21,,13,15,14,12,B,7792,0.21,1,0.21,,6,8,7,7,A,8202,0,1,0,,,,,,,yes,18,43.86,43.86
203629,203629,Trib 1 to Coldwater (203629),PSCIS,"ROAD, RESOURCE/OTHER",OTHER,POTENTIAL,,,356330403,Trib to Coldwater,Kettle Valley Railway,Other,,,Data-deficient barrier,Barrier assessment,,,,,,,,,,,,,,In-depth habitat investigation (data deficient structures only),,,,No crossing structure found but likely should have one. ,Recommend installing a data logger to better understand rearing habitat values of wetland upstream of KVR during freshet,,11302252,ASSESSED,FORD,Old KVR,Trib to Coldwater River,No crossing found in 50m radius from crossing location (mapped). Noted stream diversion at upper crossings; crossing 1011302223 is inacessible.,9/19/2024,,,,,,10,643529,5503868,117,LNIC,,,0,1011300510;1011302223,2,,,,0.19,0,0,0,0.19,0,4512,0.19,3,0.063333333,,18,19,15,13,B,6562,0,3,0,,,,,,,4512,0.19,3,0.063333333,,15,16,12,10,A,yes,19,43.92333333,43.86
