aggregated_crossings_id,barrier_id,internal_name,crossing_source,crossing_feature_type,crossing_type_code,barrier_status,transport_line_structured_name_1,rail_track_name,blue_line_key,watercourse_name,road_name,structure_type,structure_owner,private_owner_details,structure_list_status,assessment_type_completed,reason_for_exclusion,method_of_exclusion,partial_passability,partial_passability_notes,upstream_habitat_quality,constructability,estimated_cost_$,priority,type_of_rehabilitation,rehabilitated_by,rehabilitated_date,estimated_rehabilitation_cost_$,actual_project_cost_$,next_steps,timeline_for_next_steps,lead_for_next_steps,others_involved_in_next_steps,reason,notes,supporting_links,modelled_crossing_id,pscis_status,crossing_subtype_code,pscis_road_name,pscis_stream_name,pscis_assessment_comment,pscis_assessment_date,dam_name,dam_height,dam_owner,dam_use,dam_operating_status,utm_zone,utm_easting,utm_northing,downstream_route_measure,watershed_group_code,gnis_stream_name,barriers_anthropogenic_dnstr,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_habitat_wcrp_upstr,barriers_anthropogenic_habitat_wcrp_upstr_count,barriers_ch_cm_co_pk_sk_dnstr,barriers_st_dnstr,barriers_wct_dnstr,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,all_spawning_km,all_spawning_belowupstrbarriers_km,all_rearing_km,all_rearing_belowupstrbarriers_km,all_spawningrearing_set_id,all_spawningrearing_total_hab_gain_set,all_spawningrearing_num_barriers_set,all_spawningrearing_avg_gain_per_barrier,all_spawningrearing_dnstr_set_ids,all_spawningrearing_rank_avg_gain_per_barrier,all_spawningrearing_rank_avg_gain_tiered,all_spawningrearing_rank_total_upstr_hab,all_spawningrearing_rank_combined,all_spawningrearing_tier_combined,all_spawning_set_id,all_spawning_total_hab_gain_set,all_spawning_num_barriers_set,all_spawning_avg_gain_per_barrier,all_spawning_dnstr_set_ids,all_spawning_rank_avg_gain_per_barrier,all_spawning_rank_avg_gain_tiered,all_spawning_rank_total_upstr_hab,all_spawning_rank_combined,all_spawning_tier_combined,all_rearing_set_id,all_rearing_total_hab_gain_set,all_rearing_num_barriers_set,all_rearing_avg_gain_per_barrier,all_rearing_dnstr_set_ids,all_rearing_rank_avg_gain_per_barrier,all_rearing_rank_avg_gain_tiered,all_rearing_rank_total_upstr_hab,all_rearing_rank_combined,all_rearing_tier_combined,label_in_wcrp,,,
1011302223,1011302223,Trib 1 to Coldwater R @ private (11302223),MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356330403,,,,,,,,,,,,,,,,,,,,,,,,,,,,11302223,,,,,,,,,,,,10,643512,5503386,628.5280271,LNIC,,203629,1,1011300510,1,,,,0.19,0,0,0,0.19,0,4512,0.19,3,0.063333333,,18,19,15,13,B,6562,0,3,0,,,,,,,4512,0.19,3,0.063333333,,15,16,12,10,A,yes,20,43.98666667,43.86
1011300510,1011300510,Trib 1 to Coldwater R @ Hwy 5 (11300510),MODELLED CROSSINGS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,Hwy 5,,356330403,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300510,,,,,,,,,,,,10,643385,5503247,846.0279665,LNIC,,1011302223;203629,2,,,,,,0.19,0.19,0,0,0.19,0.19,4512,0.19,3,0.063333333,,18,19,15,13,B,6562,0,3,0,,,,,,,4512,0.19,3,0.063333333,,15,16,12,10,A,yes,21,44.05,44.05
1011300296,1011300296,Trib 3 to Coldwater R @ Coldwater Rd (11300296),MODELLED CROSSINGS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,Coldwater Rd S,,356331554,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300296,,,,,,,,,,,,10,650634,5527412,241.6921773,LNIC,,,0,1011304160,1,,,,0.13,0.06,0,0,0.13,0.06,7792,0.13,2,0.065,,17,18,17,14,B,6972,0,2,0,,,,,,,4102,0.13,2,0.065,,14,15,14,11,B,yes,22,44.115,44.11
1011304160,1011304160,Trib 3 to Coldwater R @ KVR (11304160),MODELLED CROSSINGS,TRAIL,CBS,POTENTIAL,Nicola Kamloops and Similkameen Rail Trail,,356331554,,,,,,,,,,,,,,,,,,,,,,,,,,,,11304160,,,,,,,,,,,,10,650668,5527354,309.1581162,LNIC,,1011300296,1,,,,,,0.07,0.07,0,0,0.07,0.07,7792,0.13,2,0.065,,17,18,17,14,B,6972,0,2,0,,,,,,,4102,0.13,2,0.065,,14,15,14,11,B,yes,23,44.18,44.18
1011301292,1011301292,Trib 4 to Coldwater R @ unnamed (11301292),MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356265025,,,,,,,,,,,,,,,,,,,,,,,,,,,,11301292,,,,,,,,,,,,10,656870,5548447,96.86657537,LNIC,,,0,,,2.17742E+13,,,0.07,0.07,0.07,0.07,0,0,4922,0.07,1,0.07,,16,17,19,15,B,5742,0.07,1,0.07,,9,11,10,9,A,1642,0,1,0,,,,,,,yes,24,44.25,44.25
203639,203639,Stumbles Creek @ Unnamed (203639),PSCIS,"ROAD, RESOURCE/OTHER",CBS,BARRIER,,,356276550,Stumbles Creek,Unnamed,Stream crossing - CBS,,,Data-deficient barrier,Barrier assessment,,,,,High,Easy,,,,,,,,In-depth habitat investigation (data deficient structures only),,,,More studies required to understand salmon use and key habitat values.,Abandoned road. Relatively easy to remove crossing with landowner permission. Aquifer provides high quality rearing and overwintering habitat. RB only - upstream of beaver dam.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205312,,ASSESSED,ROUND,Abandoned,Stumbles Creek,"Spawning habitat - cobbles and gravel patches alternating with long stretches of fines, not good for spawning. Overwintering habitat - relatively stable due to aquifer fed water - ensuring stable temps through winter. Rearing habitat - good - abundant but not diverse cover, composed of undercut banks, overstream and instream vegetation; stream has very good shading - crown closure ~70%. CO not present above beaver dam, RB abundant in this reach.",9/27/2024,,,,,,10,651443,5559376,4486,LNIC,Stumbles Creek,197884;197882,2,1011304112;1011304287;203637;203641;203642,5,,,,1.8,0.08,0,0,1.8,0.08,11893,0.82,2,0.41,"[ ""11892"" ]",9,33,6,16,B,11073,0,5,0,"[ ""11072"" ]",,,,,,14763,0.82,2,0.41,"[ ""14762"" ]",9,33,6,15,B,yes,25,44.66,44.33
203637,203637,Stumbles Creek @ Gravel Pit (203637),PSCIS,"ROAD, RESOURCE/OTHER",CBS,BARRIER,,,356276550,Stumbles Creek,Gravel pit,Stream crossing - CBS,,,Data-deficient barrier,Barrier assessment,,,,,High,Moderate,,,,,,,,In-depth habitat investigation (data deficient structures only),,,,"Good habitat, only RB found. More studies required to understand salmon use and key habitat values.","Embedment present for last 1/5 of outlet. Rearing habitat - good perennial flows, abundant cover, stable creek. Cover - overstream vegetation, undercut, and small woody debries. Spawning habitat - none - mixed cobble, gravel, fines. Overwintering habitat - fair - stream with approximately 3% gradient - fish would need to find low gradient locations to survive water velocities; fed by aquifer - consistent temperature throughout winter.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205310,,ASSESSED,ROUND,gravel pit,Stumbles Creek,"Embedment present for last 1/5 of outlet. Rearing habitat - good perennial flows, abundant cover, stable creek. Cover - overstream vegetation, undercut, and small woody debries. Spawning habitat - none - mixed cobble, gravel, fines. Overwintering habitat - fair - stream with approximately 3% gradient - fish would need to find low gradient locations to survive water velocities; fed by aquifer - consistent temperature throughout winter.",9/26/2024,,,,,,10,651461,5559457,4571,LNIC,Stumbles Creek,203639;197884;197882,3,1011304112;1011304287;203641;203642,4,,,,1.72,0.74,0,0,1.72,0.74,11893,0.82,2,0.41,"[ ""11892"" ]",9,33,6,16,B,11073,0,5,0,"[ ""11072"" ]",,,,,,14763,0.82,2,0.41,"[ ""14762"" ]",9,33,6,15,B,yes,26,45.07,45.07
1011300035,1011300035,Trib 1 to Nicola R @ Petit Cr Rd (11300035),MODELLED CROSSINGS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,Petit Creek Rd,,356045543,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300035,,,,,,,,,,,,10,641527,5557030,16.38055453,LNIC,,,0,1011300154;1011305046,2,,,,0.1,0.02,0.1,0.02,0,0,3282,0.07,2,0.035,,20,22,18,17,B,4922,0.07,2,0.035,,12,13,9,10,A,15992,0,3,0,,,,,,,yes,27,45.105,45.09
1011300154,1011300154,Trib 1 to Nicola R @ Hwy 8 (11300154),MODELLED CROSSINGS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,Merritt-Spences Bridge Hwy 8,,356045543,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300154,,,,,,,,,,,,10,641537,5557057,45.151255,LNIC,,1011300035,1,1011305046,1,1.95793E+13,,,0.08,0.05,0.08,0.05,0,0,3282,0.07,2,0.035,,20,22,18,17,B,4922,0.07,2,0.035,,12,13,9,10,A,15992,0,3,0,,,,,,,yes,28,45.14,45.14
196968,196968,Murray Cr @ Maka Murray FSR (197968),PSCIS,"ROAD, RESOURCE/OTHER",CBS,BARRIER,,,356346608,Murray Creek,Maka Murray FSR,Stream crossing - CBS,,,Data-deficient barrier,Barrier assessment,,,,,,,,,,,,,,Barrier reassessment,,,,Last assessed 2017 as low quality habitat but with comment that stream provides spawning gravels. Due for reassessment,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197588,11305091,ASSESSED,ROUND,Maka Murray FSR,Murray Creek,Spawning gravel and gravel supply to Murray Lake outlet spawners.  ATV trail croosing approx. 50 m upstream,9/14/2017,,,,,,10,643294,5519072,86,LNIC,,,0,,,,,,0.04,0.04,0,0,0.04,0.04,9842,0.04,1,0.04,,19,20,20,18,B,9022,0,1,0,,,,,,,10662,0.04,1,0.04,,16,17,16,13,B,yes,29,45.18,45.18
1011302097,1011302097,Trib 4 to Coldwater R @ Basscoast pkg lot,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356236771,,,,,,,,,,,,,,,,,,,,,,,,,,,,11302097,,,,,,,,,,,,10,658311,5550531,412.6217861,LNIC,,,0,,,2.14916E+13,2.14916E+13,,0.04,0.04,0.04,0.04,0,0,6152,0.04,1,0.04,,19,21,21,19,B,412,0.04,1,0.04,,11,12,12,11,B,7382,0,1,0,,,,,,,yes,30,45.22,45.22
1011300145,1011300145,Lindley Cr @ Shulus Rd (11300145),MODELLED CROSSINGS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,Neale Rd S,,356296952,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300145,,,,,,,,,,,,10,652670,5555234,290.1431174,LNIC,Lindley Creek,,0,,,,,,0.02,0.02,0,0,0.02,0.02,3692,0.02,1,0.02,,22,23,23,20,B,4512,0,1,0,,,,,,,5332,0.02,1,0.02,,17,18,17,14,B,yes,31,45.24,45.24
203641,203641,Stumbles Creek @ Private (203641),PSCIS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,private driveway,,356276550,Stumbles Creek,Private,Stream crossing - CBS,,,Data-deficient barrier,Barrier assessment,,,,,High,Moderate,,,,,,,,In-depth habitat investigation (data deficient structures only),2/13/2026,,,Scores as potential barrier. Limited spawning substrates but aquifer provides good flows for rearing and overwintering. More study required to understand salmon use and value,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205314,24758913,ASSESSED,ROUND,unknown,Stumbles Creek,"Spawning habitat - 95% fines 5% gravels - not suitable for spawning. Overwintering habitat - ground fed stream form aquifer offers year round temperature stability with perennial flows - moderate to good overwintering. Rearing habitat - abundant cover composed of instream vegetation, overstream vegetation, and undercut banks.  Perennial flows, but stream banks heavily trampled by cows, pugging visible in stream and results in increased sedimentation and erosion.",9/27/2024,,,,,,10,651526,5560160,5307,LNIC,Stumbles Creek,203637;203639;197884;197882,4,1011304112;203642,2,,,,0.97,0.03,0,0,0.97,0.03,11894,0.97,3,0.323333333,"[ ""11892"", ""11893"" ]",10,38,9,21,C,11073,0,5,0,"[ ""11072"" ]",,,,,,14764,0.97,3,0.323333333,"[ ""14762"", ""14763"" ]",10,38,9,17,B,no,32,45.56333333,45.27
203642,203642,Stumbles Creek @ Private (203642),PSCIS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,private driveway,,356276550,Stumbles Creek,Private,Stream crossing - CBS,,,Data-deficient barrier,Barrier assessment,,,,,Low,Moderate,,,,,,,,In-depth habitat investigation (data deficient structures only),,,,Scores as potential barrier. Habitat quality upstream unknown but appears low from crossing. More study required to understand salmon use and habitat values.,"Approximately 30m upstream form culvert channel splits into two branches. North branch flows through wetland carrying 20% of flow, South Branch follows road ditch carrying 80% of flow. Confluence of branches at UTM - 10.651476. 5560172. Spawning habitat - no spawning due to lack of suitable substrate. Overwintering habitat - downstream of culvert are steady enough flows for overwintering but upstream are reduced flows, and possibly are suitable only at higher flows; unkown flow regime above culvert. Suspected, but uncertain of aquifer flows. Channel is mis-mapped by TRIM - needs to be verified. Rearing habitat -  stream provides good cover, but upstream N channel flows through wetlands (not preferable habitat for RB). South branch flows along the ditch for at least 50 meters - but unknown source - needs verification. Unknown fish habitat upstream of wetland - stream requires assessment  to determine suitability for RB. Access to property not granted.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205315,,ASSESSED,ROUND,unknown,Stumbles Creek,"Approximately 30m upstream form culvert channel splits into two branches. North branch flows through wetland carrying 20% of flow, South Branch follows road ditch carrying 80% of flow. Confluence of branches at UTM - 10.651476. 5560172. Spawning habitat - no spawning due to lack of suitable substrate. Overwintering habitat - downstream of culvert are steady enough flows for overwintering but upstream are reduced flows, and possibly are suitable only at higher flows; unkown flow regime above culvert. Suspected, but uncertain of aquifer flows. Channel is mis-mapped by TRIM - needs to be verified. Rearing habitat -  stream provides good cover, but upstream N channel flows through wetlands (not preferable habitat for RB). South branch flows along the ditch for at least 50 meters - but unknown source - needs verification. Unknown fish habitat upstream of wetland - stream requires assessment  to determine suitability for RB. Access to property not granted.",9/27/2024,,,,,,10,651504,5560171,5332,LNIC,Stumbles Creek,203641;203637;203639;197884;197882,5,1011304112,1,,,,0.94,0.32,0,0,0.94,0.32,11894,0.97,3,0.323333333,"[ ""11892"", ""11893"" ]",10,38,9,21,C,11073,0,5,0,"[ ""11072"" ]",,,,,,14764,0.97,3,0.323333333,"[ ""14762"", ""14763"" ]",10,38,9,17,B,no,33,45.88666667,45.59
1011304112,1011304112,Stumbles Cr @ private (11304112),MODELLED CROSSINGS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,private driveway,,356276550,,,,,,,,,,,,,,,,,,,,,,,,,,,,11304112,,,,,,,,,,,,10,651255,5560330,5655.897205,LNIC,Stumbles Creek,203642;203641;203637;203639;197884;197882,6,,,,,,0.62,0.62,0,0,0.62,0.62,11894,0.97,3,0.323333333,"[ ""11892"", ""11893"" ]",10,38,9,21,C,11073,0,5,0,"[ ""11072"" ]",,,,,,14764,0.97,3,0.323333333,"[ ""14762"", ""14763"" ]",10,38,9,17,B,no,34,46.21,46.21
1011300034,1011300034,Trib 2 to Nicola R @ Petit Cr Rd (11300034),MODELLED CROSSINGS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,Petit Creek Rd,,356239765,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300034,,,,,,,,,,,,10,641534,5557020,46.35742739,LNIC,,,0,,,,,,0.01,0.01,0.01,0.01,0,0,412,0.01,1,0.01,,23,25,25,22,C,1642,0.01,1,0.01,,14,14,14,12,B,6562,0,1,0,,,,,,,no,35,46.22,46.22
1011302203,1011302203,Trib 3 to Nicola R @ private (11302203),MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356361516,,,,,,,,,,,,,,,,,,,,,,,,,,,,11302203,,,,,,,,,,,,10,663483,5556394,216.7853498,LNIC,,,0,1011301346,1,,,,0.01,0,0.01,0,0,0,6562,0.01,2,0.005,,24,26,24,23,C,3282,0.01,2,0.005,,15,16,15,14,B,11892,0,2,0,,,,,,,no,36,46.225,46.22
1011301346,1011301346,Trib 4 to Nicola R @ private (11301346),MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356361516,,,,,,,,,,,,,,,,,,,,,,,,,,,,11301346,,,,,,,,,,,,10,664080,5557825,2455.326422,LNIC,,1011302203,1,,,,,,0.01,0.01,0.01,0.01,0,0,6562,0.01,2,0.005,,24,26,24,23,C,3282,0.01,2,0.005,,15,16,15,14,B,11892,0,2,0,,,,,,,no,37,46.23,46.23
197689,197689,Chataway Cr @ Skuhun-Chataway Lk FSR,PSCIS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356334818,Chataway Cr,Skuhun-Chataway Lk FSR,Stream crossing - CBS,,,Data-deficient barrier,Barrier assessment,,,,,High,,,,,,,,,Habitat confirmation (data deficient structures only),,,,,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198589,11305815,ASSESSED,OVAL,,Chataway Creek,"Excellent overall RB habitat – deep pools for rearing habitat and overwintering habitat. Spawning habitat contains 80% gravels, 20% sands combined with good holding in deep pools. Culvert partially embedded (avg depth 0.1 m).",9/23/2020,,,,,,10,648297,5581849,8853,LNIC,Chataway Creek,6ac0dab8-0785-4e46-ac24-c99d538b05bf;197681,2,,,,,,0.18,0.18,0,0,0.18,0.18,11483,0.18,1,0.18,"[ ""11482"" ]",14,34,16,24,C,14762,0,3,0,,,,,,,12303,0.18,1,0.18,"[ ""12302"" ]",12,34,13,16,B,no,38,46.41,46.41
1011300606,1011300606,Trib 2 to Nicola R @ Hwy 8,MODELLED CROSSINGS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,Merritt-Spences Bridge Hwy 8,,356102439,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300606,,,,,,,,,,,,10,640311,5558038,67.36497033,LNIC,,,0,,,2.01483E+13,2.01483E+13,,0.01,0.01,0.01,0.01,0,0,1642,0.01,1,0.01,,23,24,27,25,C,2872,0.01,1,0.01,,14,15,16,13,B,9022,0,1,0,,,,,,,no,39,46.42,46.42
1011305046,1011305046,Trib 1 to Nicola R @ unnamed (11305046),MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356045543,,,,,,,,,,,,,,,,,,,,,,,,,,,,11305046,,,,,,,,,,,,10,641563,5557103,98.56799468,LNIC,,1011300154;1011300035,2,,,1.95793E+13,1.95793E+13,,0.03,0.03,0.03,0.03,0,0,3283,0.03,1,0.03,"[ ""3282"" ]",21,36,22,26,C,4923,0.03,1,0.03,"[ ""4922"" ]",13,33,13,16,B,15992,0,3,0,,,,,,,no,40,46.45,46.45
1011304287,1011304287,Trib to Stumbles CR @ private (113004287),MODELLED CROSSINGS,"ROAD, DEMOGRAPHIC",CBS,POTENTIAL,private driveway,,356185996,,,,,,,,,,,,,,,,,,,,,,,,,,,,11304287,,,,,,,,,,,,10,651564,5560208,64.20171445,LNIC,,203637;203639;197884;197882,4,,,,,,0.01,0.01,0,0,0.01,0.01,2872,0.01,1,0.01,"[ ""11892"", ""11893"" ]",23,39,26,27,C,4102,0,1,0,"[ ""11072"", ""11073"" ]",,,,,,4922,0.01,1,0.01,"[ ""14762"", ""14763"" ]",18,39,18,18,B,no,41,46.46,46.46
